P1,P2,P3,P4,x1,y1,z1,x2,y2,z2,r,label
1,0,1,0,0.62,-14.47,11.74,1.5,-9.07,-0.19,137,4
0,0,1,1,0.15,-3.9,4.94,1.87,-10.07,0.84,138,4
0,0,1,1,-6.29,-5.46,-19.6,-0.51,-9,2.62,137,1
0,0,1,1,-0.39,-6.48,5.4,1.38,-9.37,0.86,137,1
0,0,1,1,2.12,-6.35,6.33,-0.16,-7.78,-0.95,129,1
0,0,1,1,-2.77,-11.76,10.49,0.5,-7.57,11.11,121,1
0,0,1,1,0.3,-9.75,7.31,4.09,-7.86,-7.38,101,2
0,0,1,1,-2.64,-6.23,9.2,-0.34,-9.26,-0.88,98,2
0,0,1,1,0.3,-9.03,8.86,-1.32,-10.8,-0.6,97,2
0,0,1,1,-1.89,-10.52,2.96,-0.65,-9.47,-0.19,97,2
0,0,1,1,0.24,-10.69,9.12,-0.62,-9.32,1.1,97,2
0,1,0,1,3.38,-17.12,-1.95,-1.49,-9.45,-0.76,97,2
0,1,0,1,0.7,-8.44,-0.08,1.3,-13.16,-0.16,98,2
0,1,0,1,-1.04,-9.73,-0.33,1.68,-12.88,-0.16,121,2
0,1,0,0,1.49,-9.86,-0.06,-3.31,-9.24,1.15,208,2
0,1,0,0,-2.85,-8.66,0.38,5.3,-8.78,-0.23,277,2
0,1,0,0,3.14,-9.72,7.79,0.14,-7.01,-3.1,330,3
0,1,0,0,-1.08,-9.42,5.65,-3.91,-5.82,1.17,342,3
1,1,0,0,-4.12,-10.6,-1.78,-4.36,-10.27,1.21,342,3
1,1,0,0,-4.01,-10.65,-5.09,-2.53,-7.17,2.23,343,4
1,1,0,0,-0.26,-9.61,1.13,-1.31,-8.44,-0.38,343,4
1,1,0,0,-0.89,-9.68,-0.24,-0.77,-9.04,2.06,327,4
1,1,0,0,-1.92,-9.03,2.99,-1.73,-10.98,1.87,257,4
1,1,0,0,-1.16,-9.85,2.66,-5.63,-19.6,2.43,182,4
